App_Version,Module,Bug_ID,Bug_Description,Severity,Status,Occurrences,Time_to_Fix_Days,Release_Date
v2.2,Payment,BUG-1000,NullPointerException in login flow,Medium,Open,9,22.2,2024-11-23
v2.1,API,BUG-1001,Payment gateway timeout,Low,Open,33,18.3,2024-07-28
v2.1,API,BUG-1002,Database connection drops randomly,Medium,Fixed,1,22.9,2023-06-13
v1.1,Search,BUG-1003,Crash on empty form submission,,Fixed,23,25.5,2024-09-10
v2.0,UI,BUG-1004,Search returns wrong results,High,Fixed,36,9.1,2024-10-05
v2.1,Search,BUG-1005,Dashboard not loading on mobile,Low,Open,19,29.6,2023-08-27
v2.0,Profile,BUG-1006,Profile picture not uploading,Medium,Open,18,21.2,2024-11-30
v1.1,UI,BUG-1007,Database connection drops randomly,Low,Fixed,41,20.8,2023-08-13
v3.0,Login,BUG-1008,Database connection drops randomly,High,Reopened,26,8.4,2023-08-05
v2.2,Profile,BUG-1009,API returns 500 error,Medium,Fixed,42,14.0,2023-09-29
v2.1,Notifications,BUG-1010,Push notification not received,Medium,Fixed,24,7.0,2023-05-22
v1.0,Payment,BUG-1011,Notification delay observed,Medium,Fixed,28,18.1,2024-01-30
v2.1,Notifications,BUG-1012,Filter not working on date range,High,Open,47,3.9,2024-07-03
v1.2,Payment,BUG-1013,Authentication token expiry issue,Medium,Fixed,47,26.3,2023-09-27
v2.1,Payment,BUG-1014,Authentication token expiry issue,High,Fixed,13,5.0,2023-06-15
v2.1,Login,BUG-1015,Password reset link expiring early,Medium,Open,24,26.4,2023-11-11
v2.1,Payment,BUG-1016,Dashboard not loading on mobile,Medium,Reopened,49,16.2,2023-05-09
v2.1,Dashboard,BUG-1017,UI elements misaligned on Safari,Medium,Fixed,14,27.9,2024-12-07
v2.2,Profile,BUG-1018,Button unresponsive after first click,High,Fixed,16,,2023-12-13
v2.1,Search,BUG-1019,NullPointerException in login flow,Low,Fixed,15,2.5,2023-02-02
v1.1,Notifications,BUG-1020,Session timeout too aggressive,Low,Open,37,17.5,2023-09-06
v1.1,Payment,BUG-1021,Search returns wrong results,Medium,Fixed,27,14.3,2023-02-25
v1.0,Login,BUG-1022,Memory leak in background service,Medium,Reopened,7,7.8,2023-07-14
v1.1,Notifications,BUG-1023,Button unresponsive after first click,Low,Reopened,29,24.3,2024-07-17
v2.1,Login,BUG-1024,Dashboard not loading on mobile,High,Reopened,11,12.5,2024-05-07
v1.0,Dashboard,BUG-1025,Memory leak in background service,Low,Fixed,30,8.9,2024-12-14
v2.1,Database,BUG-1026,Notification delay observed,Low,Open,4,,2024-07-09
v1.0,Auth,BUG-1027,Session timeout too aggressive,Medium,Reopened,11,2.2,2024-06-04
v2.1,Payment,BUG-1028,Database connection drops randomly,Medium,Reopened,37,,2024-08-31
v2.2,Auth,BUG-1029,Push notification not received,Medium,Reopened,14,20.3,2023-11-18
v2.2,Notifications,BUG-1030,Button unresponsive after first click,Medium,Fixed,5,0.8,2024-09-28
